,Type,Price,Location,Baths,Area,Beds
0,Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,2
1,Upper Portion,PKR40 Thousand,"Expo Avenue Society, Lahore, Punjab",3,10 Marla,3
2,Upper Portion,PKR47 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
3,House,PKR5.95 Lakh,"Gulberg, Lahore, Punjab",7,2 Kanal,6
4,House,PKR5 Lakh,"Muslim Town, Lahore, Punjab",7,2 Kanal,5
5,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",7,4 Kanal,6
6,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,6
7,House,PKR4.1 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5
8,House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",6,2 Kanal,6
9,House,PKR9.5 Lakh,"Gulberg, Lahore, Punjab",10,2.1 Kanal,6
10,Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
11,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,7
12,House,PKR5.5 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,4
13,House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
14,House,PKR15 Lakh,"Garden Town, Lahore, Punjab",10,4 Kanal,7
15,Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
16,Upper Portion,PKR18 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
17,Room,PKR22 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,10 Marla,1
18,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
19,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
20,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
21,House,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
22,House,PKR40 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
23,Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
24,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
25,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
26,House,PKR46 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,8 Marla,2
27,Lower Portion,PKR37 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
28,Upper Portion,PKR36 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
29,Flat,PKR75 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
30,Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
31,House,PKR1.4 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
32,Flat,PKR13 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,3 Marla,1
33,Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",1,8 Marla,1
34,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
35,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
